index;testCaseName;PushdownSystem;AccessPath_-1;AccessPath_1;AccessPath_2;AccessPath_3;AccessPath_4;AccessPath_5;
2;experiments.field.complexity.benchmark.Fields2LongTest;0.378;0.175;0.096;0.159;0.316;0.544;0.791;
3;experiments.field.complexity.benchmark.Fields3LongTest;0.175;0.103;0.07;0.19;0.7;5.941;10.0;
4;experiments.field.complexity.benchmark.Fields4LongTest;0.223;0.719;0.1;0.488;4.292;10.0;10000.0;
5;experiments.field.complexity.benchmark.Fields5LongTest;0.31;10.0;0.183;1.32;10.0;10000.0;10000.0;
6;experiments.field.complexity.benchmark.Fields6LongTest;0.464;10000.0;0.299;3.343;10000.0;10000.0;10000.0;
7;experiments.field.complexity.benchmark.Fields7LongTest;0.735;10000.0;0.508;6.959;10000.0;10000.0;10000.0;
8;experiments.field.complexity.benchmark.Fields8LongTest;1.143;10000.0;0.822;10.0;10000.0;10000.0;10000.0;
9;experiments.field.complexity.benchmark.Fields9LongTest;1.893;10000.0;1.29;10000.0;10000.0;10000.0;10000.0;
10;experiments.field.complexity.benchmark.Fields10LongTest;2.937;10000.0;1.751;10000.0;10000.0;10000.0;10000.0;
11;experiments.field.complexity.benchmark.Fields11LongTest;4.065;10000.0;2.481;10000.0;10000.0;10000.0;10000.0;
12;experiments.field.complexity.benchmark.Fields12LongTest;6.753;10000.0;3.021;10000.0;10000.0;10000.0;10000.0;
13;experiments.field.complexity.benchmark.Fields13LongTest;8.372;10000.0;4.88;10000.0;10000.0;10000.0;10000.0;
14;experiments.field.complexity.benchmark.Fields14LongTest;10.0;10000.0;6.334;10000.0;10000.0;10000.0;10000.0;
15;experiments.field.complexity.benchmark.Fields15LongTest;10.0;10000.0;7.255;10000.0;10000.0;10000.0;10000.0;
16;experiments.field.complexity.benchmark.Fields16LongTest;10.0;10000.0;8.657;10000.0;10000.0;10000.0;10000.0;
17;experiments.field.complexity.benchmark.Fields17LongTest;10.0;10000.0;10.0;10000.0;10000.0;10000.0;10000.0;
18;experiments.field.complexity.benchmark.Fields18LongTest;10.0;10000.0;10000.0;10000.0;10000.0;10000.0;10000.0;
19;experiments.field.complexity.benchmark.Fields19LongTest;10.0;10000.0;10000.0;10000.0;10000.0;10000.0;10000.0;
20;experiments.field.complexity.benchmark.Fields20LongTest;10.0;10000.0;10000.0;10000.0;10000.0;10000.0;10000.0;
