x,y,r,times,opacity,seeds,timeouts
1,1,0.1322801794871795,48.4,0.18571428571428572,78,6
2,1,0.29535552380952385,293.0,0.17692307692307693,70,32
3,1,0.2718545424430642,257.8,0.27692307692307694,161,65
4,1,0.282548469348659,273.8,0.48241758241758237,348,143
5,1,0.26439104761904764,246.6,0.16153846153846155,56,22
2,2,0.40013288888888887,450.2,0.1032967032967033,3,2
4,2,0.5,600.0,0.1032967032967033,3,3
5,2,0.4653331666666667,548.0,0.1087912087912088,8,6
2,3,0.4200416,480.1,0.1054945054945055,5,4
3,3,0.5,600.0,0.1032967032967033,3,3
4,3,0.5,600.0,0.11758241758241758,16,16
5,3,0.5,600.0,0.1032967032967033,3,3
4,4,0.5,600.0,0.1065934065934066,6,6
5,4,0.5,600.0,0.1142857142857143,13,13
4,5,0.5,600.0,0.1032967032967033,3,3
5,5,0.5,600.0,0.1087912087912088,8,8
